GamerTag,Achievements File,Games File,Achievements Last Scraped,Games Last Scraped,Location Last Scraped,LocationSrc,LocationAlt,LocationTitle
XG9FNK,Yes,Yes,5/28/2023 18:20,5/29/2023 3:04,,,,
BCFGXN,Yes,Yes,2023-06-02 16:34:35,2023-06-04 18:33:38,2023-06-06 00:15:44,None,None,None
8CKAVT,Yes,Yes,2023-06-06 13:58:46,2023-06-07 21:37:17,,,,
7BJMBP,Yes,Yes,2023-06-02 15:21:35,2023-06-07 23:08:05,2023-06-06 00:39:40,None,None,None
PX6FE5,Yes,Yes,2023-06-06 23:17:39,2023-06-07 22:50:17,,,,
YUWBPL,Yes,Yes,2023-06-06 11:54:07,2023-06-07 22:33:59,,,,
HRHSRQ,Yes,Yes,2023-06-03 05:57:23,2023-06-04 18:47:46,2023-06-06 00:38:20,None,None,None
ZT9FLY,Yes,Yes,2023-05-31 21:58:41,2023-06-04 18:17:36,2023-06-06 00:48:04,None,None,None
3BHZ4Q,Yes,Yes,5/28/2023 14:23,5/29/2023 2:08,2023-06-06 00:17:13,None,None,None
V3F21L,Yes,Yes,2023-05-31 16:11:00,5/29/2023 2:12,2023-06-06 00:38:46,None,None,None
5EWXUP,Yes,Yes,2023-05-29 14:35:35,2023-05-30 09:52:04,2023-06-06 00:34:54,None,None,None
J7UYTR,Yes,Yes,2023-06-02 17:04:09,2023-06-04 19:03:12,,,,
SKOJU5,Yes,Yes,2023-06-07 14:56:48,2023-06-07 21:03:38,,,,
7A61YZ,Yes,Yes,5/28/2023 20:04,5/29/2023 1:51,2023-06-06 00:29:45,None,None,None
0ZR8V9,Yes,Yes,2023-06-06 14:42:43,2023-06-07 23:10:35,,,,
CLLB6W,Yes,Yes,2023-06-06 23:11:35,2023-06-07 22:16:13,,,,
8V28NY,Yes,Yes,2023-06-07 00:06:25,2023-06-07 15:50:12,,,,
KPISEY,Yes,Yes,2023-06-06 13:32:09,2023-06-07 22:09:06,,,,
R5WNB3,Yes,Yes,2023-06-07 00:05:19,2023-06-07 15:49:54,,,,
PARJ6H,Yes,Yes,2023-06-03 06:50:36,2023-06-07 23:05:26,2023-06-06 01:02:03,https://www.trueachievements.com/images/flags/United%20States%20of%20America(USA).png,USA,USA
J6M2LS,Yes,Yes,2023-06-02 17:25:33,2023-06-04 18:42:10,2023-06-06 01:01:51,https://www.trueachievements.com/images/flags/Scotland.png,Scotland,Scotland
JS0KSR,Yes,Yes,2023-05-31 22:01:57,2023-06-07 22:31:21,,,,
8QRUZR,Yes,Yes,2023-06-02 20:00:14,2023-06-04 18:43:54,2023-06-06 00:40:25,None,None,None
MY6TMG,Yes,Yes,2023-06-06 19:23:04,2023-06-07 21:10:07,,,,
70XUDG,Yes,Yes,2023-06-06 11:47:11,2023-06-07 22:29:21,,,,
8MMPQ2,Yes,Yes,2023-06-02 15:07:41,2023-06-04 02:53:47,2023-06-06 00:18:36,https://www.trueachievements.com/images/flags/Singapore.png,Singapore,Singapore
BUMQ0R,Yes,Yes,2023-06-02 21:06:52,2023-06-04 18:45:20,,,,
2VZHKA,Yes,Yes,2023-06-01 01:57:23,5/29/2023 2:32,,,,
YKCFB5,Yes,Yes,2023-05-30 02:11:28,5/28/2023 13:25,2023-06-06 01:01:46,None,None,None
